time,SiO2,Al2O3,Fe2O3,CaO,MgO,SO3,Na2O,K2O,Cl,SM,AM,,,
0.33,58.37,19.39,14.42,0.71,0.45,0.09,0.10,0.18,0.09,1.73,1.34,,,
0.67,56.62,19.91,12.15,0.81,0.46,0.08,0.10,0.19,0.10,1.77,1.64,,,
0.00,59.14,19.27,12.88,0.91,0.44,0.08,0.10,0.17,0.09,1.84,1.50,,,
0.33,69.66,17.68,4.84,0.53,0.42,0.07,0.09,0.08,0.10,3.09,3.65,,,
0.67,69.79,17.82,4.73,0.57,0.44,0.07,0.10,0.11,0.09,3.09,3.77,,,
0.00,69.44,18.04,4.73,0.52,0.40,0.08,0.10,0.09,0.10,3.05,3.81,,,
0.33,68.99,17.86,5.48,0.59,0.40,0.07,0.09,0.08,0.10,2.96,3.26,,,
0.67,69.35,17.48,7.41,0.51,0.37,0.08,0.10,0.08,0.10,2.79,2.36,,,
0.00,69.70,17.29,6.52,0.53,0.40,0.07,0.10,0.08,0.10,2.93,2.65,,,
0.33,67.87,17.85,5.20,1.06,0.45,0.10,0.09,0.13,0.10,2.94,3.43,,,
0.67,66.26,17.67,6.39,1.37,0.49,0.08,0.10,0.15,0.10,2.75,2.77,,,
0.00,66.47,18.10,7.33,0.59,0.57,0.08,0.10,0.24,0.09,2.61,2.47,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
